schema_version,sample_id,subject_redacted,sender_domain,reply_to_domain,authentication_summary,body_excerpt,url_domains,url_structural_flags,attachment_extension,attachment_mime,candidate_category
pilot-25-001,synthetic notice 001,updates.example.com,,spf=pass; dkim=pass,synthetic review evidence 001,example.com,,, ,
pilot-25-002,synthetic notice 002,updates.example.com,,spf=pass; dkim=pass,synthetic review evidence 002,example.com,,, ,
pilot-25-003,synthetic notice 003,updates.example.com,,spf=pass; dkim=pass,synthetic review evidence 003,example.com,,, ,
pilot-25-004,synthetic notice 004,updates.example.com,,spf=pass; dkim=pass,synthetic review evidence 004,example.com,,, ,
pilot-25-005,synthetic notice 005,updates.example.com,,spf=pass; dkim=pass,synthetic review evidence 005,example.com,,, ,
pilot-25-006,synthetic notice 006,updates.example.com,,spf=pass; dkim=pass,synthetic review evidence 006,example.com,,, ,
pilot-25-007,synthetic notice 007,updates.example.com,,spf=pass; dkim=pass,synthetic review evidence 007,example.com,,, ,
pilot-25-008,synthetic notice 008,updates.example.com,,spf=pass; dkim=pass,synthetic review evidence 008,example.com,,, ,
pilot-25-009,synthetic notice 009,updates.example.com,,spf=pass; dkim=pass,synthetic review evidence 009,example.com,,, ,
pilot-25-010,synthetic notice 010,updates.example.com,,spf=pass; dkim=pass,synthetic review evidence 010,example.com,,, ,
pilot-25-011,synthetic notice 011,mail.example.org,,spf=none; dkim=none,synthetic review evidence 011,example.org,query_present_removed,,
pilot-25-012,synthetic notice 012,mail.example.org,,spf=none; dkim=none,synthetic review evidence 012,example.org,query_present_removed,,
pilot-25-013,synthetic notice 013,mail.example.org,,spf=none; dkim=none,synthetic review evidence 013,example.org,query_present_removed,,
pilot-25-014,synthetic notice 014,mail.example.org,,spf=none; dkim=none,synthetic review evidence 014,example.org,query_present_removed,,
pilot-25-015,synthetic notice 015,mail.example.org,,spf=none; dkim=none,synthetic review evidence 015,example.org,query_present_removed,,
pilot-25-016,synthetic notice 016,service.example.net,,dmarc=fail,synthetic review evidence 016,example.net,punycode_domain,.zip,application/zip,
pilot-25-017,synthetic notice 017,service.example.net,,dmarc=fail,synthetic review evidence 017,example.net,punycode_domain,.zip,application/zip,
pilot-25-018,synthetic notice 018,service.example.net,,dmarc=fail,synthetic review evidence 018,example.net,punycode_domain,.zip,application/zip,
pilot-25-019,synthetic notice 019,service.example.net,,dmarc=fail,synthetic review evidence 019,example.net,punycode_domain,.zip,application/zip,
pilot-25-020,synthetic notice 020,service.example.net,,dmarc=fail,synthetic review evidence 020,example.net,punycode_domain,.zip,application/zip,
pilot-25-021,synthetic notice 021,service.example.net,,dmarc=fail,synthetic review evidence 021,example.net,punycode_domain,.zip,application/zip,
pilot-25-022,synthetic notice 022,service.example.net,,dmarc=fail,synthetic review evidence 022,example.net,punycode_domain,.zip,application/zip,
pilot-25-023,synthetic notice 023,service.example.net,,dmarc=fail,synthetic review evidence 023,example.net,punycode_domain,.zip,application/zip,
pilot-25-024,synthetic notice 024,service.example.net,,dmarc=fail,synthetic review evidence 024,example.net,punycode_domain,.zip,application/zip,
pilot-25-025,synthetic notice 025,service.example.net,,dmarc=fail,synthetic review evidence 025,example.net,punycode_domain,.zip,application/zip,
